time,Urban Maximum Temperature,Net Longwave Radiation,Net Solar Radiation,Total Precipitation,Snowfall,Water Vapor Mixing Ratio,Air Temperature,Zonal Wind,Meridional Wind,lat,lon,month,season,outlier_bool
2006-06-01,289.59488,35.943344,119.50138,1.355147e-08,4.799715499999999e-18,0.00679498,285.41965,0.08465466,1.9750732,53.246075,357.5,6,Summer,True
2006-06-02,290.3211,37.390514,139.20392,8.316768e-09,0.0,0.006923268,286.8422,-3.204424,3.0119843,53.246075,357.5,6,Summer,False
2006-06-03,287.65082,12.847245,41.447792,8.336856e-08,0.0,0.008570166,286.21567,-3.6954622,-1.5931599,53.246075,357.5,6,Summer,False
2006-06-04,289.97964,17.735403,66.178154,1.1288587e-07,1.7894107e-15,0.008830965,287.4056,-1.0899062,2.0683157,53.246075,357.5,6,Summer,False
2006-06-05,291.61252,43.207005,191.27019,5.1867488e-08,0.0,0.007329926,287.7521,-2.1469965,3.3229783,53.246075,357.5,6,Summer,False
2006-06-06,291.05365,53.058926,190.54956,8.661763e-08,3.299182e-12,0.0065211006,286.83078,4.600817,4.669893,53.246075,357.5,6,Summer,False
2006-06-07,287.30847,26.588503,57.196102,8.9568374e-08,4.2493537e-13,0.0072905333,285.1536,-2.184353,5.943958,53.246075,357.5,6,Summer,True
2006-06-08,289.46466,60.850433,190.76382,3.4785664e-08,9.74274e-18,0.0057423175,285.563,3.3820786,5.8847613,53.246075,357.5,6,Summer,True
2006-06-09,289.124,64.7214,187.34915,1.4117103e-08,9.033505999999999e-19,0.005869273,285.71725,2.9773347,5.291193,53.246075,357.5,6,Summer,True
2006-06-10,289.41812,32.434166,83.06857,1.0125949e-07,1.0984021e-14,0.007203007,285.5466,-3.2935915,4.9198503,53.246075,357.5,6,Summer,True
2006-06-11,289.4898,38.774395,122.466896,6.586464e-08,5.2746972e-17,0.0066071427,286.11337,3.4306974,5.090719,53.246075,357.5,6,Summer,False
2006-06-12,290.17633,70.56573,251.7373,8.081312e-09,3.8391175e-15,0.005116106,286.07785,3.1369944,0.06196083,53.246075,357.5,6,Summer,False
2006-06-13,291.11545,65.02855,196.93082,3.3656473e-09,0.0,0.004989511,286.63605,-0.35607883,-0.21611045,53.246075,357.5,6,Summer,False
2006-06-14,290.89078,50.40346,185.76846,8.561074e-08,1.8176973e-15,0.006668539,287.2236,-2.3857155,1.4158071,53.246075,357.5,6,Summer,False
2006-06-15,289.75076,48.662098,154.74617,9.0362654e-08,1.4796441e-18,0.0065601366,286.1673,-1.8822696,1.5432422,53.246075,357.5,6,Summer,False
2006-06-16,289.13834,36.187214,118.08993,6.659351e-08,7.0165266e-13,0.007034084,286.0303,-0.12419558,2.0794737,53.246075,357.5,6,Summer,False
2006-06-17,291.39502,48.550453,146.56131,1.500469e-08,0.0,0.006828431,287.15723,2.5159867,2.786454,53.246075,357.5,6,Summer,False
2006-06-18,294.90186,89.20357,295.4773,3.1127906e-10,0.0,0.0063061556,288.34177,-0.39098865,2.0607517,53.246075,357.5,6,Summer,False
2006-06-19,293.5195,43.07769,128.30588,8.8917126e-08,2.2700353e-13,0.007852341,288.8563,-2.948088,1.9966806,53.246075,357.5,6,Summer,False
2006-06-20,291.61572,61.99642,226.21942,5.6693498e-08,5.301507e-17,0.006903649,287.80322,1.3323133,3.6548178,53.246075,357.5,6,Summer,False
2006-06-21,290.34192,45.62772,164.71681,4.5636128e-08,1.11759695e-14,0.0071746297,287.15103,1.7130113,0.18073745,53.246075,357.5,6,Summer,False
2006-06-22,291.3967,38.880836,138.25647,7.0734596e-09,0.0,0.0073545515,287.83777,-0.45068613,-0.9912877,53.246075,357.5,6,Summer,False
2006-06-23,291.54602,44.393566,148.32089,4.5011945e-09,0.0,0.007311428,288.0518,-3.863652,0.72540104,53.246075,357.5,6,Summer,False
2006-06-24,290.23874,27.258379,124.40499,1.093645e-08,0.0,0.0073791873,287.5796,-4.9115887,-1.2658893,53.246075,357.5,6,Summer,False
2006-06-25,286.6086,12.954976,43.466854,2.6907145e-07,0.0,0.00802098,285.25897,0.941327,-5.722453,53.246075,357.5,6,Summer,True
2006-06-26,287.88116,33.7568,107.35883,2.6542037e-09,3.878111e-16,0.00519951,284.9133,4.5888424,-2.3325016,53.246075,357.5,6,Summer,True
2006-06-27,289.96423,65.30085,211.28899,5.7877614e-09,2.0704556e-19,0.0047563124,285.78516,3.6614351,-1.1568717,53.246075,357.5,6,Summer,True
2006-06-28,290.56592,43.420273,147.24756,9.141114e-09,7.5363165e-21,0.0057846294,287.01932,1.4440416,3.2367308,53.246075,357.5,6,Summer,False
2006-06-29,292.7736,39.23025,180.67242,2.7654131e-08,3.109339e-14,0.007426706,288.58524,3.142515,2.7193828,53.246075,357.5,6,Summer,False
2006-06-30,290.70395,10.899128,55.95993,2.1244792e-07,1.1011993e-13,0.010031755,288.51895,2.2280629,5.418908,53.246075,357.5,6,Summer,False
2006-07-01,291.92606,18.903845,89.76609,2.4509442e-08,0.0,0.009232409,289.83096,0.5232408,5.6151924,53.246075,357.5,7,Summer,False
2006-07-02,293.3953,43.854458,150.09755,2.4728825e-08,0.0,0.008443907,289.4882,-0.07732145,3.6503756,53.246075,357.5,7,Summer,False
2006-07-03,291.56128,49.80396,182.36426,4.6312547e-08,1.9186055e-12,0.0074365754,288.09128,3.0070858,3.8840163,53.246075,357.5,7,Summer,False
2006-07-04,292.40594,52.385254,183.11607,2.8982921e-08,3.4306833e-17,0.007200375,288.1304,2.246851,-0.9922167,53.246075,357.5,7,Summer,False
2006-07-05,291.54626,50.639946,175.35579,1.4085915e-09,0.0,0.0059002885,287.91974,4.266507,-2.0543356,53.246075,357.5,7,Summer,False
2006-07-06,294.01248,52.301605,196.55211,5.5397986e-10,0.0,0.0072679715,289.43884,2.8934603,1.7901908,53.246075,357.5,7,Summer,False
2006-07-07,289.59305,20.556828,66.57053,5.309629e-08,6.311041699999999e-19,0.008485222,287.61105,1.2238168,2.4098346,53.246075,357.5,7,Summer,False
2006-07-08,290.49908,24.449934,91.600914,1.191647e-07,2.231812e-13,0.008563884,287.14056,0.92918724,-1.0504714,53.246075,357.5,7,Summer,False
2006-07-09,289.78082,14.173394,56.483932,5.7757124e-08,0.0,0.008705811,287.843,1.8027556,-2.3417232,53.246075,357.5,7,Summer,False
2006-07-10,292.21298,39.404404,120.29677,2.1022373e-08,0.0,0.00831629,288.725,1.6562026,-1.5101222,53.246075,357.5,7,Summer,False
2006-07-11,290.78198,35.977108,118.43117,3.7613887e-08,7.321171e-18,0.007899161,287.78287,3.154501,-0.0857534,53.246075,357.5,7,Summer,False
2006-07-12,289.49396,24.143831,106.18707,1.1839022e-07,2.1528231e-13,0.0079517495,286.7879,3.0400696,-0.8970692,53.246075,357.5,7,Summer,False
2006-07-13,289.25745,28.502548,82.507,1.325929e-07,2.1207032e-14,0.008130385,286.70508,2.6311195,0.13499652,53.246075,357.5,7,Summer,False
2006-07-14,291.66452,38.78394,149.69385,3.2682095e-08,1.0317641e-17,0.008017733,287.9987,4.1827044,2.0161345,53.246075,357.5,7,Summer,False
2006-07-15,290.40433,9.014529,34.129547,1.4701536e-07,1.7239909e-15,0.0094612995,288.39603,-0.26817745,6.794728,53.246075,357.5,7,Summer,False
2006-07-16,292.73453,52.406567,187.74649,7.111744e-08,3.5663075e-20,0.007804971,289.5515,0.9017252,6.3027196,53.246075,357.5,7,Summer,False
2006-07-17,291.92215,46.339798,146.79124,5.317815e-08,6.638939e-18,0.008218798,288.96997,1.3329276,4.8116107,53.246075,357.5,7,Summer,False
2006-07-18,293.45364,54.786583,196.59479,2.4688614e-08,-1.3811600999999998e-25,0.007934995,289.36185,1.914632,3.0384004,53.246075,357.5,7,Summer,False
2006-07-19,294.14883,58.308662,211.57971,9.81704e-09,-2.4037992e-25,0.0077159153,289.5686,2.1415997,1.1444886,53.246075,357.5,7,Summer,False
2006-07-20,294.87643,45.113564,173.38306,1.1418193e-08,-2.9056340000000003e-25,0.008069088,290.75607,0.4265445,0.7819838,53.246075,357.5,7,Summer,False
2006-07-21,295.16104,41.5051,167.95644,3.5935788e-08,1.647543e-16,0.008990764,291.44012,-2.5631807,3.11077,53.246075,357.5,7,Summer,False
2006-07-22,293.6203,46.425568,159.47202,8.167115e-08,2.0159039e-14,0.008451073,289.75436,0.9807263,2.5236316,53.246075,357.5,7,Summer,False
2006-07-23,293.1703,57.089478,188.43582,4.888573e-08,2.5301494999999996e-37,0.007887511,288.8916,0.6010998,0.38615426,53.246075,357.5,7,Summer,False
2006-07-24,294.71185,54.25009,192.32677,3.017908e-08,8.242638e-24,0.008477725,290.42706,1.9756874,-2.6825085,53.246075,357.5,7,Summer,False
2006-07-25,294.61984,44.771687,138.1491,1.28613715e-08,0.0,0.008824632,290.35568,3.0353432,1.0826486,53.246075,357.5,7,Summer,False
2006-07-26,294.84137,42.945595,156.05316,2.1348411e-08,0.0,0.0085269185,289.95837,2.2434614,4.8040032,53.246075,357.5,7,Summer,False
2006-07-27,293.1686,37.93681,131.20865,2.5251927e-08,0.0,0.008393023,289.42953,1.3689317,3.9223292,53.246075,357.5,7,Summer,False
2006-07-28,293.5982,21.460104,90.59381,5.341955e-08,0.0,0.010249696,290.1506,-1.4094706,1.2549145,53.246075,357.5,7,Summer,False
2006-07-29,295.20035,44.170483,176.18698,1.4494612e-08,0.0,0.009850368,291.46567,2.4293447,1.4744163,53.246075,357.5,7,Summer,False
2006-07-30,295.136,71.82914,233.06357,3.605389e-09,0.0,0.007834008,289.9976,2.1128654,1.8283998,53.246075,357.5,7,Summer,False
2006-07-31,293.59192,63.59479,196.8689,2.604708e-08,6.744091300000001e-22,0.0077068093,289.43954,3.5412047,2.0425632,53.246075,357.5,7,Summer,False
2006-08-01,292.85144,55.27548,165.7454,1.08274e-08,0.0,0.007245134,288.8364,2.2961204,2.7052312,53.246075,357.5,8,Summer,False
2006-08-02,294.5613,44.38973,184.63222,1.2277576e-09,0.0,0.008049118,290.32898,-0.40808627,1.5467138,53.246075,357.5,8,Summer,False
2006-08-03,296.6776,47.63974,193.3433,1.1149059e-08,0.0,0.009323019,292.1637,-5.063114,-1.777704,53.246075,357.5,8,Summer,False
2006-08-04,295.83444,39.042645,110.22419,1.505341e-09,0.0,0.010621443,291.7091,-5.0716386,-4.278281,53.246075,357.5,8,Summer,False
2006-08-05,298.2286,32.879642,125.27965,2.9155762e-08,7.864449e-15,0.011920134,292.83948,-5.1204844,-3.9640744,53.246075,357.5,8,Summer,False
2006-08-06,297.20126,53.22429,201.33766,3.8085684e-08,4.417012e-19,0.010486845,293.03906,-2.0251336,2.9582329,53.246075,357.5,8,Summer,False
2006-08-07,294.95526,21.937841,110.84312,3.837459e-08,0.0,0.011208614,291.54434,0.82611394,3.2698503,53.246075,357.5,8,Summer,False
2006-08-08,294.09024,25.937767,85.774506,4.5890626e-08,0.0,0.010211438,290.81796,2.3995717,3.1323545,53.246075,357.5,8,Summer,False
2006-08-09,293.556,38.269306,144.76039,3.093759e-08,0.0,0.009493032,290.32568,3.1300626,0.56744885,53.246075,357.5,8,Summer,False
2006-08-10,291.61337,42.783184,105.21101,4.9293534e-09,0.0,0.008401541,289.02954,3.5849643,0.39737868,53.246075,357.5,8,Summer,False
2006-08-11,293.6513,54.264587,170.6266,1.4892542e-08,0.0,0.008165806,289.61053,4.000221,0.17899974,53.246075,357.5,8,Summer,False
2006-08-12,293.1627,38.437943,124.96954,2.3516207e-09,0.0,0.008211933,289.7834,2.9253106,0.07342328,53.246075,357.5,8,Summer,False
2006-08-13,292.7567,48.08865,164.29868,2.549798e-09,0.0,0.0073233685,289.32574,2.870921,-1.6293896,53.246075,357.5,8,Summer,False
2006-08-14,293.23724,44.918633,152.75966,1.9818245e-09,0.0,0.0070249457,289.2953,1.5371244,1.1491485,53.246075,357.5,8,Summer,False
2006-08-15,290.07904,25.491667,79.56896,1.12047275e-07,1.1582418e-18,0.008266539,287.6438,2.2078476,3.1376476,53.246075,357.5,8,Summer,False
2006-08-16,291.10132,48.00448,149.97174,2.5623377e-08,7.676097e-15,0.006876982,287.53162,6.4039183,1.1305565,53.246075,357.5,8,Summer,False
2006-08-17,291.4366,28.074022,94.943214,4.100142e-08,9.422419e-18,0.0082361875,288.49,4.869228,-1.6302733,53.246075,357.5,8,Summer,False
2006-08-18,292.3242,51.50087,160.9488,4.1914943e-09,0.0,0.007520058,287.98596,4.0275373,0.15399157,53.246075,357.5,8,Summer,False
2006-08-19,292.2516,29.13388,127.41989,8.232277e-08,1.9226312e-13,0.008303719,288.36676,1.8034935,3.2222452,53.246075,357.5,8,Summer,False
2006-08-20,289.5153,33.45446,114.11777,9.46719e-08,2.0665574e-14,0.007610198,286.97623,2.6784801,2.6018405,53.246075,357.5,8,Summer,False
2006-08-21,292.3186,36.705475,106.529335,6.3148015e-08,3.085323e-14,0.008108866,288.1422,5.2791047,0.8075785,53.246075,357.5,8,Summer,False
2006-08-22,291.50174,26.21918,76.57069,1.4257894e-08,-7.6406596e-26,0.008835905,288.8529,2.3661027,2.9311943,53.246075,357.5,8,Summer,False
2006-08-23,289.6233,10.761486,35.732365,1.1492336e-07,2.17011e-14,0.010040189,288.32846,1.2012445,2.9855418,53.246075,357.5,8,Summer,False
2006-08-24,292.6009,44.310146,136.63129,1.18691705e-08,0.0,0.008094458,288.82407,2.8203087,-0.8299113,53.246075,357.5,8,Summer,False
2006-08-25,291.7199,39.43919,128.8517,1.2968641e-08,0.0,0.007071108,288.21954,2.4116592,1.9975555,53.246075,357.5,8,Summer,False
2006-08-26,292.94885,25.596828,107.43425,3.9791612e-08,7.6760296e-22,0.009078766,289.58124,1.3920193,3.9182367,53.246075,357.5,8,Summer,False
2006-08-27,294.4192,45.97335,135.89706,1.09866846e-07,1.1318058e-22,0.008915333,289.62375,-0.115610525,5.266631,53.246075,357.5,8,Summer,False
2006-08-28,292.2582,51.848293,141.85562,4.9613213e-08,2.7349005e-14,0.008150013,288.97443,1.9815265,5.264589,53.246075,357.5,8,Summer,False
2006-08-29,290.954,51.56953,128.1395,5.661932e-08,2.1594963e-13,0.0076486687,287.7472,2.7471213,4.3931813,53.246075,357.5,8,Summer,False
2006-08-30,292.449,66.48874,145.39464,5.0758646e-09,0.0,0.0069937133,287.33487,3.7050295,3.2712865,53.246075,357.5,8,Summer,False
2006-08-31,290.4688,28.111044,109.42608,6.96977e-08,0.0,0.008607718,287.6172,-0.8781842,3.1424408,53.246075,357.5,8,Summer,False
2007-06-01,289.63095,60.350582,199.00874,1.2649373e-08,2.9495516e-19,0.00551398,285.87698,3.1200733,3.9331338,53.246075,357.5,6,Summer,False
2007-06-02,288.8076,42.366936,151.27058,7.434211e-08,1.2175456999999999e-18,0.0065909154,285.73224,2.386239,3.8295352,53.246075,357.5,6,Summer,True
2007-06-03,287.821,29.439943,105.52288,1.0046198e-07,5.0406615e-12,0.0063690715,285.08838,4.2434964,0.22638302,53.246075,357.5,6,Summer,True
2007-06-04,286.88434,40.70482,141.47035,5.442187e-08,2.4817324e-16,0.005445063,284.25873,4.7771034,-1.1127867,53.246075,357.5,6,Summer,True
2007-06-05,289.61426,71.32431,209.57683,1.787533e-08,2.4829742e-15,0.0048655993,284.72635,2.8368173,-0.80185795,53.246075,357.5,6,Summer,True
2007-06-06,287.34286,38.24857,124.413826,9.737538e-08,6.483183e-14,0.0064469036,284.2998,0.28362396,3.5147734,53.246075,357.5,6,Summer,True
2007-06-07,291.13815,41.04453,159.54102,2.7749845e-08,1.5622555e-17,0.0073904935,287.21948,2.4699147,-0.9369159,53.246075,357.5,6,Summer,False
2007-06-08,292.88202,43.893353,134.86946,7.276904e-09,0.0,0.007521034,288.26755,0.60888284,0.91210735,53.246075,357.5,6,Summer,False
2007-06-09,294.4747,48.89953,180.02673,2.6143265e-10,0.0,0.0075117066,289.7955,-0.74715877,1.4792292,53.246075,357.5,6,Summer,False
2007-06-10,294.21133,50.742874,168.20776,1.4357851e-10,0.0,0.0073492443,290.0301,-2.1641936,0.19410743,53.246075,357.5,6,Summer,False
2007-06-11,292.71848,69.59022,213.13908,2.4881472e-09,0.0,0.0073175207,287.5829,-3.7584965,-1.9207569,53.246075,357.5,6,Summer,False
2007-06-12,293.44174,43.59024,171.10683,1.1861118e-08,0.0,0.008633777,288.74094,-3.3700862,-3.53207,53.246075,357.5,6,Summer,False
2007-06-13,294.25864,16.710484,97.96464,3.4235494e-08,8.604752e-20,0.010088833,289.8333,-3.2474434,-2.6338296,53.246075,357.5,6,Summer,False
2007-06-14,296.34595,29.991863,181.67644,1.7493692e-08,-2.351501e-26,0.01053477,291.556,-3.0810769,0.11998874,53.246075,357.5,6,Summer,False
2007-06-15,297.08417,36.171345,166.3509,7.531753e-08,3.0211563000000003e-38,0.011884626,293.14026,-2.6538148,-0.21075177,53.246075,357.5,6,Summer,False
2007-06-16,293.70087,17.477064,69.20853,7.3619326e-08,6.745236e-13,0.011626139,291.12845,-2.1479154,0.59575415,53.246075,357.5,6,Summer,False
2007-06-17,294.8756,35.384098,138.6527,4.9237613e-08,1.0863473e-13,0.010217716,291.44495,4.1996593,0.93097484,53.246075,357.5,6,Summer,False
2007-06-18,293.4187,50.723293,187.52356,1.4900385e-08,0.0,0.008058822,290.36963,4.841658,-0.5784427,53.246075,357.5,6,Summer,False
2007-06-19,293.02124,65.71227,258.12338,9.572159e-09,1.0024371e-21,0.0066906596,289.05542,4.9819627,-0.33762848,53.246075,357.5,6,Summer,False
2007-06-20,291.89532,48.077633,182.33463,3.458253e-08,9.373428e-16,0.0067206235,288.6139,3.2851636,0.60158986,53.246075,357.5,6,Summer,False
2007-06-21,291.73337,28.57394,110.38316,7.470324e-08,6.4990350000000005e-18,0.0080707865,288.00253,-2.2473085,3.7741382,53.246075,357.5,6,Summer,False
2007-06-22,290.65024,44.89955,161.96211,7.708047e-08,5.79646e-13,0.007233943,287.4007,3.3808243,4.5200067,53.246075,357.5,6,Summer,False
2007-06-23,293.75833,59.209335,213.5017,6.510613e-08,2.2070126e-18,0.007333847,289.10617,5.089626,1.1794913,53.246075,357.5,6,Summer,False
2007-06-24,292.15723,36.71299,104.09886,5.058336e-08,1.8115259000000002e-22,0.008465924,287.95453,0.44892812,4.7017407,53.246075,357.5,6,Summer,False
2007-06-25,291.9162,65.82118,220.79233,2.3333264e-08,0.0,0.006635621,288.56473,5.7325425,4.901799,53.246075,357.5,6,Summer,False
2007-06-26,292.15375,77.70969,261.72183,1.3839676e-08,5.1614684e-14,0.0058931545,287.34888,3.9292262,0.55912024,53.246075,357.5,6,Summer,False
